assay,sample,quadrant,wid,hei
novel_object,20190611_1331_icab_icab_R,q1,348,350
novel_object,20190611_1331_icab_icab_R,q2,358,350
novel_object,20190611_1331_icab_icab_R,q3,358,354
novel_object,20190611_1331_icab_icab_R,q4,348,354
novel_object,20190611_1410_icab_kaga_R,q1,342,348
novel_object,20190611_1410_icab_kaga_R,q2,364,348
novel_object,20190611_1410_icab_kaga_R,q3,364,356
novel_object,20190611_1410_icab_kaga_R,q4,342,356
novel_object,20190611_1454_icab_hni_R,q1,346,352
novel_object,20190611_1454_icab_hni_R,q2,360,352
novel_object,20190611_1454_icab_hni_R,q3,360,352
novel_object,20190611_1454_icab_hni_R,q4,346,352
novel_object,20190611_1552_icab_hni_R,q1,346,354
novel_object,20190611_1552_icab_hni_R,q2,360,354
novel_object,20190611_1552_icab_hni_R,q3,360,350
novel_object,20190611_1552_icab_hni_R,q4,346,350
novel_object,20190611_1628_icab_hdr_R,q1,348,352
novel_object,20190611_1628_icab_hdr_R,q2,358,352
novel_object,20190611_1628_icab_hdr_R,q3,358,352
novel_object,20190611_1628_icab_hdr_R,q4,348,352
novel_object,20190611_1658_icab_ho5_R,q1,352,348
novel_object,20190611_1658_icab_ho5_R,q2,354,348
novel_object,20190611_1658_icab_ho5_R,q3,354,356
novel_object,20190611_1658_icab_ho5_R,q4,352,356
novel_object,20190612_0952_icab_icab_R,q1,348,348
novel_object,20190612_0952_icab_icab_R,q2,358,348
novel_object,20190612_0952_icab_icab_R,q3,358,356
novel_object,20190612_0952_icab_icab_R,q4,348,356
novel_object,20190612_1053_icab_kaga_R,q1,344,350
novel_object,20190612_1053_icab_kaga_R,q2,362,350
novel_object,20190612_1053_icab_kaga_R,q3,362,354
novel_object,20190612_1053_icab_kaga_R,q4,344,354
novel_object,20190612_1123_icab_hni_R,q1,346,348
novel_object,20190612_1123_icab_hni_R,q2,360,348
novel_object,20190612_1123_icab_hni_R,q3,360,356
novel_object,20190612_1123_icab_hni_R,q4,346,356
novel_object,20190612_1236_icab_kaga_R,q1,352,346
novel_object,20190612_1236_icab_kaga_R,q2,354,346
novel_object,20190612_1236_icab_kaga_R,q3,354,358
novel_object,20190612_1236_icab_kaga_R,q4,352,358
novel_object,20190612_1326_icab_kaga_R,q1,348,354
novel_object,20190612_1326_icab_kaga_R,q2,358,354
novel_object,20190612_1326_icab_kaga_R,q3,358,350
novel_object,20190612_1326_icab_kaga_R,q4,348,350
novel_object,20190612_1355_icab_ho5_R,q1,344,360
novel_object,20190612_1355_icab_ho5_R,q2,362,360
novel_object,20190612_1355_icab_ho5_R,q3,362,344
novel_object,20190612_1355_icab_ho5_R,q4,344,344
novel_object,20190612_1425_icab_kaga_R,q1,350,346
novel_object,20190612_1425_icab_kaga_R,q2,356,346
novel_object,20190612_1425_icab_kaga_R,q3,356,358
novel_object,20190612_1425_icab_kaga_R,q4,350,358
novel_object,20190612_1501_icab_icab_R,q1,346,346
novel_object,20190612_1501_icab_icab_R,q2,360,346
novel_object,20190612_1501_icab_icab_R,q3,360,358
novel_object,20190612_1501_icab_icab_R,q4,346,358
novel_object,20190612_1534_icab_hdr_R,q1,352,346
novel_object,20190612_1534_icab_hdr_R,q2,354,346
novel_object,20190612_1534_icab_hdr_R,q3,354,358
